StationNumber,Station name
11172955,ALAMEDA C BL DIV DAM NR SUNOL CA
11173200,ARROYO HONDO NR SAN JOSE CA
11173500,CALAVERAS C NR SUNOL CA
11173510,ALAMEDA C BL CALAVERAS C NR SUNOL CA
11173575,ALAMEDA C BL WELCH C NR SUNOL CA
11173800,INDIAN C NR SUNOL CA
11174000,SAN ANTONIO C NR SUNOL CA
11174160,ALAMEDA C A SUNOL WATER TEMPLE A SUNOL CA
11174600,ALAMO CN NR PLEASANTON CA
11176340,ARROYO DE LA LAGUNA A CORTE MADRID NR PLEASANTON
11176400,ARROYO VALLE BL LANG CYN NR LIVERMORE CA
11176500,ARROYO VALLE NR LIVERMORE CA
11176900,ARROYO DE LA LAGUNA A VERONA CA
11179000,ALAMEDA C NR NILES CA
11179100,ALAMEDA C NR FREMONT CA
11180500,DRY C A UNION CITY CA
11180700,ALAMEDA C FLOOD CHANNEL A UNION CITY CA
11180825,SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA
11180900,CROW C NR HAYWARD CA
11180960,CULL C AB CULL C RES NR CASTRO VALLEY CA
11181000,SAN LORENZO C A HAYWARD CA
11181008,CASTRO VALLEY C A HAYWARD CA
11181040,SAN LORENZO C A SAN LORENZO CA
11182500,SAN RAMON C A SAN RAMON CA
11185500,KERN R NO 3 CN NR KERNVILLE CA
11186000,KERN R NR KERNVILLE (RIVER ONLY) CA
11186001,COMBINED FLOW OF KERN R AND KERN R NO 3 CA
11186550,SALMON C LOW FLOW RELEASE BL DIV NR KERNVILLE CA
11186750,CORRAL C LOW FLOW RELEASE BL DIV NR KERNVILLE CA
11189500,SF KERN R NR ONYX CA
11192000,KERN R NO 1 CONDUIT NR DEMOCRAT SPRINGS CA
11192500,KERN R NR DEMOCRAT SPRINGS(RIVER ONLY) CA
11192501,KERN R NR DEMOCRAT SPRINGS (TOTAL FLOW) CA
11194152,KERN R A ENOS PARK FOOT BR NR BAKERSFIELD CA
11200800,DEER C NR FOUNTAIN SPRINGS CA
11201095,DEER C A ROAD 272 BRIDGE NR PORTERVILLE CA
11202710,MF TULE R BL INTAKE AB SPRINGVILLE CA
11203580,SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA
11204100,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA
11206500,MF KAWEAH R NR POTWISHA CAMP(RIVER ONLY) CA
11206820,MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA
11208000,MARBLE F KAWEAH R (R ONLY) A POTWISHA CAMP CA
11208600,KAWEAH R BL CONDUIT NO. 2 NR HAMMOND CA
11208730,EF KAWEAH R NR THREE RIVERS CA
11208800,EF KAWEAH R CONDUIT 1 A PP NR HAMMOND CA
11208818,KAWEAH R CONDUIT NO 2 A PP NR HAMMOND CA
11212260,CROSS C A KANSAS AVE NR HANFORD CA
11214600,HELMS C BL COURTRIGHT DAM CA
11216200,NF KINGS R BL BALCH DIV DAM CA
11216400,DINKEY C SIPHON FISH RELEASE A BALCH CAMP CA
11222975,NF KINGS R A 24TH AVE BR NR LEMOORE CA
11224000,MF SAN JOAQUIN R NR MAMMOTH LAKES CA
11224500,LOS GATOS C AB NUNEZ CYN NR COALINGA CA
11229500,WARD TUNNEL A INTAKE A FLORENCE LAKE CA
11230070,SF SAN JOAQUIN R AB HOOPER C NR FLORENCE LAKE CA
11230200,HOOPER C BL DIV DAM NR FLORENCE LAKE CA
11230215,SF SAN JOAQUIN R BL HOOPER C NR FLORENCE LAKE CA
11230500,BEAR C NR LAKE THOMAS A EDISON CA
11230530,BEAR C BELOW DIV DAM NR LAKE THOMAS A EDISON CA
11231500,MONO C BL LK THOMAS A EDISON CA
11234750,MAMMOTH POOL FISHWATER TURBINE NR BIG CREEK CA
11234760,SAN JOAQUIN R AB SHAKEFLAT C NR BIG CREEK CA
11235100,MAMMOTH POOL PP NR BIG CREEK CA
11235500,PORTAL POWERPLANT AT HUNTINGTON LAKE CA
11237000,BIG C BL HUNTINGTON LK CA
11237500,PITMAN C BL TAMARACK C CA
11237600,PITMAN C SHAFT BL TAMARACK C NR BIG CREEK CA
11237700,PITMAN C NR TAMARACK MOUNTAIN CA
11238100,BIG C PH NO 1 AT BIG CREEK CA
11238250,EASTWOOD PP AB SHAVER LK NR BIG CREEK CA
11238270,MF BALSAM C BL BALSAM MDW FOREBAY NR BIG CREEK CA
11238380,BIG C PH NO 2 NR BIG CREEK CA
11238400,BIG C PH NO 2A NR BIG CREEK CA
11238500,BIG C NR MOUTH NR BIG CREEK CA
11238550,BIG C PH NO 8 NR BIG CREEK CA
11238600,SAN JOAQUIN R AB STEVENSON C NR BIG CREEK CA
11239300,NF STEVENSON C A PERIMETER RD NR BIG C CA
11241500,STEVENSON C A SHAVER LK CA
11241800,BIG C PH NO 3 NR SHAVER LK CA
11242000,SAN JOAQUIN R AB WILLOW C NR AUBERRY CA
11243405,SF WILLOW C NR BASS LAKE CA
11244000,NF WILLOW C NR BASS LAKE CA
11244050,NF WILLOW C BL MANZANITA LK DAM NR NORTH FORK CA
11245300,WILLOW C NR NORTH FORK CA
11246500,WILLOW C A MOUTH NR AUBERRY CA
11246530,BIG C PH NO 4 NR AUBERRY CA
11246570,SAN JOAQUIN PH NO2 NR NORTH FORK CA
11246590,SAN JOAQUIN PH NO1A NR AUBERRY CA
11246700,SAN JOAQUIN R NR AUBERRY CA
11246950,KERCKHOFF PH NR AUBERRY CA
11247050,KERCKHOFF PH NO 2 A MILLERTON LK NR AUBERRY CA
11250110,SAN JOAQUIN R RELEASE A FRIANT DAM CA
11251000,SAN JOAQUIN R BL FRIANT CA
11253058,SAN JOAQUIN R A GRAVELLY FORD CN NR KERMAN CA
11253115,SAN JOAQUIN R BL CHOWCHILLA CN INTAKE NR MENDOTA
11253310,CANTUA C NR CANTUA CREEK CA
11254000,SAN JOAQUIN R NR MENDOTA CA
11255575,PANOCHE C A I-5 NR SILVER CREEK CA
11260815,SAN JOAQUIN R NR STEVINSON CA
11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA
11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA
11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA
11261500,SAN JOAQUIN R A FREMONT FORD BRIDGE CA
11262900,MUD SLOUGH NR GUSTINE CA
11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA
11266500,MERCED R A POHONO BRIDGE NR YOSEMITE CA
11269700,EXCHEQUER PH A EXCHEQUER CA
11270900,MERCED R BL MERCED FALLS DAM NR SNELL CA
11271290,MERCED R A SHAFFER BRIDGE NR CRESSEY CA
11271360,MERCED R NR ALVES RD NR CRESSEY CA
11273400,SAN JOAQUIN R AB MERCED R NR NEWMAN CA
11274000,SAN JOAQUIN R NR NEWMAN CA
11274500,ORESTIMBA C NR NEWMAN CA
11274550,SAN JOAQUIN R NR CROWS LANDING CA
11274630,DEL PUERTO C NR PATTERSON CA
11274790,TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY
11276500,TUOLUMNE R NR HETCH HETCHY CA
11276600,TUOLUMNE R AB EARLY INTAKE NR MATHER CA
11276900,TUOLUMNE R BL EARLY INTAKE NR MATHER CA
